time;southern_anomaly
1850;-0.39952648
1851;-0.24745059
1852;-0.2230961
1853;-0.2953167
1854;-0.408352
1855;-0.3482592
1856;-0.30716658
1857;-0.48306343
1858;-0.41892695
1859;-0.31474683
1860;-0.32129827
1861;-0.4530126
1862;-0.37122685
1863;-0.38732743
1864;-0.4692299
1865;-0.2976597
1866;-0.30879125
1867;-0.30883342
1868;-0.3452093
1869;-0.3843773
1870;-0.3437136
1871;-0.29620588
1872;-0.29906142
1873;-0.30706945
1874;-0.45276964
1875;-0.26752955
1876;-0.41325358
1877;-0.10085537
1878;-0.09384111
1879;-0.27102003
1880;-0.24766637
1881;-0.18044113
1882;-0.21808103
1883;-0.26588535
1884;-0.3501787
1885;-0.43261054
1886;-0.3963409
1887;-0.50335246
1888;-0.38630855
1889;-0.23932517
1890;-0.49004412
1891;-0.39072788
1892;-0.4390568
1893;-0.43251488
1894;-0.5249311
1895;-0.45238245
1896;-0.27457422
1897;-0.2680399
1898;-0.5411372
1899;-0.37782213
1900;-0.27106032
1901;-0.37191966
1902;-0.41805556
1903;-0.56152844
1904;-0.6167693
1905;-0.4121055
1906;-0.37793586
1907;-0.47162786
1908;-0.5499147
1909;-0.57780594
1910;-0.5706339
1911;-0.6252645
1912;-0.42106485
1913;-0.43961346
1914;-0.25608647
1915;-0.20816307
1916;-0.3969349
1917;-0.5015152
1918;-0.37980196
1919;-0.278756
1920;-0.28801098
1921;-0.31809315
1922;-0.37588054
1923;-0.380549
1924;-0.43143332
1925;-0.39629188
1926;-0.2437228
1927;-0.35196185
1928;-0.3261094
1929;-0.44891977
1930;-0.32359856
1931;-0.25265816
1932;-0.25348985
1933;-0.37963745
1934;-0.2952711
1935;-0.32556787
1936;-0.27804637
1937;-0.16016403
1938;-0.18388958
1939;-0.13498552
1940;0.029890874
1941;0.000768358
1942;-0.057328977
1943;-0.099634245
1944;0.06814493
1945;0.002642223
1946;-0.22615156
1947;-0.22662048
1948;-0.24854377
1949;-0.22009224
1950;-0.26235095
1951;-0.1761571
1952;-0.039108276
1953;-0.051317606
1954;-0.2023827
1955;-0.26903242
1956;-0.24720186
1957;-0.034902032
1958;-0.11796081
1959;-0.14308532
1960;-0.23137054
1961;-0.03326399
1962;-0.17631456
1963;-0.14397602
1964;-0.35073146
1965;-0.21364318
1966;-0.20880918
1967;-0.19589992
1968;-0.1980263
1969;0.037604645
1970;-0.0477133
1971;-0.18290249
1972;0.062229194
1973;0.0782654
1974;-0.09544133
1975;-0.11062622
1976;-0.17986071
1977;0.1272066
1978;0.0224081
1979;0.15063521
1980;0.25283712
1981;0.16006088
1982;0.07840488
1983;0.25546375
1984;0.12563127
1985;0.15148632
1986;0.12935646
1987;0.29033786
1988;0.24864225
1989;0.14113335
1990;0.25713807
1991;0.2926021
1992;0.15288447
1993;0.13887216
1994;0.14387386
1995;0.18509625
1996;0.26163
1997;0.3098965
1998;0.4403418
1999;0.1726068
2000;0.17509349
2001;0.35031772
2002;0.41821876
2003;0.36786872
2004;0.3012516
2005;0.38232562
2006;0.3503445
2007;0.35130018
2008;0.25959548
2009;0.48682365
2010;0.44124317
2011;0.3500494
2012;0.3708825
2013;0.47047654
2014;0.4379493
2015;0.5193882
2016;0.61066127
2017;0.57495165
2018;0.56564635
2019;0.63840175
2020;0.569861
2021;0.44576237
2022;0.5028665
2023;0.42796206
