time;southern_anomaly
1850-01;-0.44851005
1850-02;-0.5161171
1850-03;-0.679384
1850-04;-0.50416344
1850-05;-0.40912414
1850-06;-0.4950043
1850-07;-0.25807837
1850-08;-0.43092555
1850-09;-0.4515077
1850-10;-0.31469855
1850-11;-0.000587348
1850-12;-0.286217
1851-01;-0.35657808
1851-02;-0.4369947
1851-03;-0.2850089
1851-04;-0.39535868
1851-05;-0.28364074
1851-06;-0.3258755
1851-07;-0.13972086
1851-08;-0.19729999
1851-09;-0.27075225
1851-10;-0.074833244
1851-11;0.045762915
1851-12;-0.24910702
1852-01;-0.39744994
1852-02;-0.47058183
1852-03;-0.44324976
1852-04;-0.45183176
1852-05;-0.22614732
1852-06;-0.14587438
1852-07;0.021988573
1852-08;-0.21551771
1852-09;0.01667251
1852-10;-0.27509987
1852-11;-0.032544877
1852-12;-0.05751676
1853-01;-0.41749513
1853-02;-0.38725993
1853-03;-0.055617914
1853-04;-0.31682092
1853-05;-0.37257305
1853-06;-0.30863708
1853-07;-0.23421948
1853-08;-0.21066841
1853-09;-0.30511937
1853-10;-0.4013855
1853-11;-0.22125086
1853-12;-0.31275287
1854-01;-0.30503556
1854-02;-0.2998275
1854-03;-0.40035498
1854-04;-0.35634068
1854-05;-0.3873229
1854-06;-0.24850523
1854-07;-0.42448393
1854-08;-0.5297215
1854-09;-0.31043342
1854-10;-0.35737443
1854-11;-0.53897876
1854-12;-0.74184495
1855-01;-0.3218592
1855-02;-0.2561413
1855-03;-0.33436322
1855-04;-0.5021407
1855-05;-0.5383208
1855-06;-0.49006402
1855-07;-0.45173952
1855-08;-0.25107005
1855-09;-0.21525976
1855-10;-0.26965335
1855-11;-0.32973593
1855-12;-0.21876276
1856-01;-0.17744118
1856-02;-0.29302657
1856-03;-0.20738457
1856-04;-0.3883579
1856-05;-0.34653085
1856-06;-0.33799905
1856-07;-0.17637047
1856-08;-0.20187938
1856-09;-0.40775084
1856-10;-0.387903
1856-11;-0.4131737
1856-12;-0.34818116
1857-01;-0.316929
1857-02;-0.45171273
1857-03;-0.49296212
1857-04;-0.55083734
1857-05;-0.5847098
1857-06;-0.40924406
1857-07;-0.5686444
1857-08;-0.52208424
1857-09;-0.42185828
1857-10;-0.44445813
1857-11;-0.61051375
1857-12;-0.4228074
1858-01;-0.46774226
1858-02;-0.35149494
1858-03;-0.5293144
1858-04;-0.55615777
1858-05;-0.67655146
1858-06;-0.471738
1858-07;-0.43098813
1858-08;-0.21982826
1858-09;-0.19000387
1858-10;-0.4013423
1858-11;-0.30547372
1858-12;-0.4264885
1859-01;-0.42511332
1859-02;-0.36704174
1859-03;-0.36359864
1859-04;-0.23103124
1859-05;-0.28961527
1859-06;-0.37064585
1859-07;-0.35657004
1859-08;-0.34631532
1859-09;-0.40054455
1859-10;-0.23177108
1859-11;-0.3242034
1859-12;-0.07051148
1860-01;-0.20416245
1860-02;-0.2961626
1860-03;-0.30496347
1860-04;-0.2813479
1860-05;-0.44873223
1860-06;-0.3184657
1860-07;-0.2706656
1860-08;-0.20552094
