year;month;decimaldate;average
1958-03;3;1958.2027;315.70
1958-04;4;1958.2877;317.45
1958-05;5;1958.3699;317.51
1958-06;6;1958.4548;317.24
1958-07;7;1958.5370;315.86
1958-08;8;1958.6219;314.93
1958-09;9;1958.7068;313.20
1958-10;10;1958.7890;312.43
1958-11;11;1958.8740;313.33
1958-12;12;1958.9562;314.67
1959-01;1;1959.0411;315.58
1959-02;2;1959.1260;316.48
1959-03;3;1959.2027;316.65
1959-04;4;1959.2877;317.72
1959-05;5;1959.3699;318.29
1959-06;6;1959.4548;318.15
1959-07;7;1959.5370;316.54
1959-08;8;1959.6219;314.80
1959-09;9;1959.7068;313.84
1959-10;10;1959.7890;313.33
1959-11;11;1959.8740;314.81
1959-12;12;1959.9562;315.58
1960-01;1;1960.0410;316.43
1960-02;2;1960.1257;316.98
1960-03;3;1960.2049;317.58
1960-04;4;1960.2896;319.03
1960-05;5;1960.3716;320.04
1960-06;6;1960.4563;319.59
1960-07;7;1960.5383;318.18
1960-08;8;1960.6230;315.90
1960-09;9;1960.7077;314.17
1960-10;10;1960.7896;313.83
1960-11;11;1960.8743;315.00
1960-12;12;1960.9563;316.19
1961-01;1;1961.0411;316.89
1961-02;2;1961.1260;317.70
1961-03;3;1961.2027;318.54
1961-04;4;1961.2877;319.48
1961-05;5;1961.3699;320.58
1961-06;6;1961.4548;319.77
1961-07;7;1961.5370;318.57
1961-08;8;1961.6219;316.79
1961-09;9;1961.7068;314.99
1961-10;10;1961.7890;315.31
1961-11;11;1961.8740;316.10
1961-12;12;1961.9562;317.01
1962-01;1;1962.0411;317.94
1962-02;2;1962.1260;318.55
1962-03;3;1962.2027;319.68
1962-04;4;1962.2877;320.57
1962-05;5;1962.3699;321.02
1962-06;6;1962.4548;320.62
1962-07;7;1962.5370;319.61
1962-08;8;1962.6219;317.40
1962-09;9;1962.7068;316.25
1962-10;10;1962.7890;315.42
1962-11;11;1962.8740;316.69
1962-12;12;1962.9562;317.70
1963-01;1;1963.0411;318.74
1963-02;2;1963.1260;319.07
1963-03;3;1963.2027;319.86
1963-04;4;1963.2877;321.38
1963-05;5;1963.3699;322.25
1963-06;6;1963.4548;321.48
1963-07;7;1963.5370;319.74
1963-08;8;1963.6219;317.77
1963-09;9;1963.7068;316.21
1963-10;10;1963.7890;315.99
1963-11;11;1963.8740;317.07
1963-12;12;1963.9562;318.35
1964-01;1;1964.0410;319.57
1964-02;2;1964.1257;320.01
1964-03;3;1964.2049;320.74
1964-04;4;1964.2896;321.84
1964-05;5;1964.3716;322.26
1964-06;6;1964.4563;321.89
1964-07;7;1964.5383;320.44
1964-08;8;1964.6230;318.69
1964-09;9;1964.7077;316.70
1964-10;10;1964.7896;316.87
1964-11;11;1964.8743;317.68
1964-12;12;1964.9563;318.71
1965-01;1;1965.0411;319.44
1965-02;2;1965.1260;320.44
1965-03;3;1965.2027;320.89
1965-04;4;1965.2877;322.14
1965-05;5;1965.3699;322.17
1965-06;6;1965.4548;321.87
1965-07;7;1965.5370;321.21
1965-08;8;1965.6219;318.87
1965-09;9;1965.7068;317.81
1965-10;10;1965.7890;317.30
1965-11;11;1965.8740;318.87
1965-12;12;1965.9562;319.42
1966-01;1;1966.0411;320.62
1966-02;2;1966.1260;321.60
1966-03;3;1966.2027;322.39
1966-04;4;1966.2877;323.70
1966-05;5;1966.3699;324.08
1966-06;6;1966.4548;323.75
1966-07;7;1966.5370;322.38
1966-08;8;1966.6219;320.36
1966-09;9;1966.7068;318.64
1966-10;10;1966.7890;318.10
1966-11;11;1966.8740;319.78
1966-12;12;1966.9562;321.03
1967-01;1;1967.0411;322.33
1967-02;2;1967.1260;322.50
1967-03;3;1967.2027;323.04
1967-04;4;1967.2877;324.42
1967-05;5;1967.3699;325.00
1967-06;6;1967.4548;324.09
1967-07;7;1967.5370;322.54
1967-08;8;1967.6219;320.92
1967-09;9;1967.7068;319.25
1967-10;10;1967.7890;319.39
1967-11;11;1967.8740;320.73
1967-12;12;1967.9562;321.96
